#%result_name=Analysis_31,,,,,,,,
#%array_type=Clariom_S_Human,,,,,,,,
#%annotation=Clariom_S_Human.r1.na36.hg38.a1.transcript.csv,,,,,,,,
#%comparison=Asymp vs healthy,,,,,,,,
ID,Asymp Avg (log2),healthy Avg (log2),Fold Change,P-val,FDR P-val,Gene Symbol,Description,Group
TC1600007014.hg.1,9.76,11.63,-3.65,1.03E-09,1.68E-05,NDE1; MIR484,nudE neurodevelopment protein 1; microRNA 484,Multiple_Complex
TC0600007377.hg.1,11.58,8.07,11.42,1.57E-09,1.68E-05,HIST1H2BM,"histone cluster 1, H2bm",Coding
TC1600009935.hg.1,10.88,8.84,4.12,5.44E-09,3.89E-05,SPN,"Memczak2013 ANTISENSE, CDS, coding, INTERNAL best transcript NM_003123",NonCoding
TC1400007950.hg.1,14.18,12.65,2.9,7.39E-09,3.96E-05,CALM1,"calmodulin 1 (phosphorylase kinase, delta)",Multiple_Complex
TC1300008998.hg.1,9.02,11.21,-4.56,2.17E-08,6.67E-05,LINC00282,long intergenic non-protein coding RNA 282,NonCoding
TC1400008056.hg.1,10.81,5.74,33.55,2.18E-08,6.67E-05,IFI27,"interferon, alpha-inducible protein 27",Multiple_Complex
TC0200006677.hg.1,8,5.84,4.49,5.38E-08,0.0001,RRM2,ribonucleotide reductase M2,Multiple_Complex
TC1900011852.hg.1,5.45,6.75,-2.47,6.12E-08,0.0001,RFX2,"regulatory factor X, 2 (influences HLA class II expression)",Multiple_Complex
TC1900010073.hg.1,9.77,11.22,-2.72,6.31E-08,0.0001,LPAR2,lysophosphatidic acid receptor 2,Multiple_Complex
TC0300008563.hg.1,9.67,11.15,-2.8,6.86E-08,0.0001,DIRC2,disrupted in renal carcinoma 2,Multiple_Complex
TC0900007457.hg.1,6.35,9.11,-6.76,7.21E-08,0.0001,CNTNAP3P2; CNTNAP3,contactin associated protein-like 3 pseudogene 2; contactin associated protein-like 3,Multiple_Complex
TC0400008105.hg.1,9.85,8.42,2.7,7.36E-08,0.0001,HERC6,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6,Multiple_Complex
TC0600012814.hg.1,13.17,12.01,2.23,8.03E-08,0.0001,CD164,"CD164 molecule, sialomucin",Multiple_Complex
TC1400008905.hg.1,9.17,7.9,2.4,8.36E-08,0.0001,SPTSSA,"serine palmitoyltransferase, small subunit A",Multiple_Complex
TC0300009855.hg.1,8.65,10.75,-4.28,1.21E-07,0.0002,IL1RAP,interleukin 1 receptor accessory protein,Multiple_Complex
TC1900007108.hg.1,15.39,13.98,2.66,1.32E-07,0.0002,CALR,calreticulin,Multiple_Complex
TC0X00009387.hg.1,7.47,9.11,-3.13,1.34E-07,0.0002,RPGR,retinitis pigmentosa GTPase regulator,Multiple_Complex
TC1300008760.hg.1,11.7,8.22,11.12,1.41E-07,0.0002,EPSTI1,epithelial stromal interaction 1 (breast),Multiple_Complex
TC0900010968.hg.1,9.91,8.62,2.44,1.51E-07,0.0002,TRIM14,tripartite motif containing 14,Multiple_Complex
TC1100008010.hg.1,8.21,9.27,-2.09,2.15E-07,0.0002,CDC42EP2,CDC42 effector protein (Rho GTPase binding) 2,Multiple_Complex
TC2000007479.hg.1,9.99,14.67,-25.69,2.34E-07,0.0002,PI3,"peptidase inhibitor 3, skin-derived",Multiple_Complex
TC0900010959.hg.1,6.57,9.54,-7.81,2.65E-07,0.0002,HEMGN,hemogen,Multiple_Complex
TC2000009376.hg.1,11.33,12.39,-2.09,3.00E-07,0.0002,STAU1,staufen double-stranded RNA binding protein 1,Multiple_Complex
TC1100009942.hg.1,7.16,5.47,3.24,3.60E-07,0.0003,TRIM22,"Memczak2013 ANTISENSE, CDS, coding, INTERNAL, UTR5 best transcript NM_001199573",NonCoding
TC1800006506.hg.1,14.07,12.59,2.78,3.92E-07,0.0003,MYL12A,myosin light chain 12A,Multiple_Complex
TC1800009268.hg.1,7.63,9.98,-5.11,4.10E-07,0.0003,DSC2,desmocollin 2,Multiple_Complex
TC1500008485.hg.1,9.04,11.1,-4.17,4.36E-07,0.0003,IGF1R,insulin-like growth factor 1 receptor,Multiple_Complex
TC0600013431.hg.1,6.62,7.94,-2.49,4.45E-07,0.0003,PLAGL1; HYMAI,pleiomorphic adenoma gene-like 1; hydatidiform mole associated and imprinted (non-protein coding),Multiple_Complex
TC0100007574.hg.1,14.5,16.95,-5.49,5.65E-07,0.0003,EPB41,erythrocyte membrane protein band 4.1,Multiple_Complex
TC1200008726.hg.1,10.92,12.84,-3.79,5.66E-07,0.0003,TCP11L2,"t-complex 11, testis-specific-like 2",Multiple_Complex
TC0800012371.hg.1,15.19,11.2,15.91,6.25E-07,0.0003,LY6E,"lymphocyte antigen 6 complex, locus E",Multiple_Complex
TC1200012708.hg.1,14.63,10.55,16.81,6.80E-07,0.0004,OAS1,2-5-oligoadenylate synthetase 1,Multiple_Complex
TC1200008920.hg.1,11.17,7.71,10.96,6.94E-07,0.0004,OAS3,2-5-oligoadenylate synthetase 3,Multiple_Complex
TC0X00008824.hg.1,12.41,11.38,2.04,8.60E-07,0.0004,TKTL1,transketolase-like 1,Multiple_Complex
TC0500010680.hg.1,9.74,7.82,3.8,8.62E-07,0.0004,PARP8,"Memczak2013 ANTISENSE, CDS, coding, INTERNAL, intronic best transcript NM_001178056",NonCoding
TC1700010254.hg.1,14.49,15.69,-2.3,9.03E-07,0.0004,SSH2,slingshot protein phosphatase 2,Multiple_Complex
TC2000008228.hg.1,8.17,6.98,2.29,9.61E-07,0.0004,SIGLEC1,"sialic acid binding Ig-like lectin 1, sialoadhesin",Coding
TC0600011225.hg.1,14.71,13.65,2.09,9.99E-07,0.0005,HIST1H2AJ,"histone cluster 1, H2aj",Multiple_Complex
TC0200011075.hg.1,16.04,14.93,2.16,1.20E-06,0.0005,PTMA,"prothymosin, alpha",Multiple_Complex
TC0200016626.hg.1,9.3,10.82,-2.86,1.21E-06,0.0005,MBOAT2,membrane bound O-acyltransferase domain containing 2,Multiple_Complex
TC2200006540.hg.1,7.99,5.05,7.65,1.30E-06,0.0005,USP18,ubiquitin specific peptidase 18,Multiple_Complex
TC1100012966.hg.1,8.78,10.73,-3.88,1.32E-06,0.0005,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",Multiple_Complex
TC0X00009493.hg.1,4.78,5.92,-2.2,1.36E-06,0.0005,EFHC2,EF-hand domain (C-terminal) containing 2,Multiple_Complex
TC0600011235.hg.1,7.24,6.16,2.1,1.38E-06,0.0005,HIST1H2AM; HIST1H3J,"histone cluster 1, H2am; histone cluster 1, H3j",Multiple_Complex
TC2000008678.hg.1,13.03,11.28,3.36,1.76E-06,0.0007,CST3,cystatin C,Multiple_Complex
TC0600007274.hg.1,9.58,8.49,2.13,1.84E-06,0.0007,HIST1H2BD,"histone cluster 1, H2bd",Coding
TC2000007820.hg.1,6.42,7.9,-2.79,1.96E-06,0.0007,CASS4,Cas scaffolding protein family member 4,Multiple_Complex
TC0600011124.hg.1,6.9,5.2,3.25,2.16E-06,0.0008,HIST1H3B,"histone cluster 1, H3b",Coding
TC0400006706.hg.1,10.05,11.45,-2.64,2.18E-06,0.0008,TBC1D14,"TBC1 domain family, member 14",Multiple_Complex
TC0X00010837.hg.1,14.12,16.83,-6.54,2.29E-06,0.0008,MBNL3,muscleblind-like splicing regulator 3,Multiple_Complex
TC1600008164.hg.1,9.02,10.19,-2.25,2.37E-06,0.0008,FAM65A,"family with sequence similarity 65, member A",Multiple_Complex
TC0200011624.hg.1,11.65,7.82,14.23,2.40E-06,0.0008,CMPK2,"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial",Multiple_Complex
TC0X00007026.hg.1,11.78,12.8,-2.03,2.45E-06,0.0008,USP9X,"ubiquitin specific peptidase 9, X-linked",Multiple_Complex
TC1000008881.hg.1,12.21,14.69,-5.61,2.53E-06,0.0008,MXI1,"MAX interactor 1, dimerization protein",Multiple_Complex
TC0600014236.hg.1,8.6,6.95,3.13,2.80E-06,0.0009,TXNDC5,thioredoxin domain containing 5 (endoplasmic reticulum),Multiple_Complex
TC2200008036.hg.1,8.17,4.88,9.82,2.90E-06,0.0009,USP41,ubiquitin specific peptidase 41,Multiple_Complex
TC2100007208.hg.1,15.91,11.54,20.6,3.44E-06,0.001,MX1,MX dynamin-like GTPase 1,Multiple_Complex
TC1300008424.hg.1,9.14,10.83,-3.22,3.77E-06,0.0011,USP12,ubiquitin specific peptidase 12,Multiple_Complex
TC2200009219.hg.1,14.38,11.4,7.9,3.87E-06,0.0011,IGLL5; MIR5571; IGLC1; IGLC2; IGLV2-5; IGLV3-1; IGLJ1,immunoglobulin lambda-like polypeptide 5; microRNA 5571; immunoglobulin lambda constant 1 (Mcg marker); immunoglobulin lambda constant 2 (Kern-Oz- marker); immunoglobulin lambda variable 2-5 (pseudogene); immunoglobulin lambda variable 3-1; immunoglobulin lambda joining 1,Multiple_Complex
TC1900009838.hg.1,10.68,12.15,-2.78,3.89E-06,0.0011,ADGRE2,adhesion G protein-coupled receptor E2,Multiple_Complex
TC1600009683.hg.1,12.86,14.28,-2.67,3.92E-06,0.0011,IGSF6,"immunoglobulin superfamily, member 6",Multiple_Complex
TC2000009968.hg.1,8.61,10.46,-3.6,4.02E-06,0.0011,SIRPB2,signal-regulatory protein beta 2,Multiple_Complex
TC0100013369.hg.1,7.44,6.21,2.35,4.18E-06,0.0011,STMN1; MIR3917,stathmin 1; microRNA 3917,Multiple_Complex
TC0100016625.hg.1,14.91,16.12,-2.32,4.24E-06,0.0011,GLUL,glutamate-ammonia ligase,Multiple_Complex
TC0600010797.hg.1,6.54,7.88,-2.52,4.60E-06,0.0012,MAK,male germ cell-associated kinase,Coding
TC1900011251.hg.1,14.77,12.7,4.22,4.64E-06,0.0012,NKG7,natural killer cell granule protein 7,Coding
TC1200008921.hg.1,12.13,8.85,9.72,4.68E-06,0.0012,OAS2,2-5-oligoadenylate synthetase 2,Multiple_Complex
TC0400011744.hg.1,13.66,12.39,2.4,4.69E-06,0.0012,ANXA5,annexin A5,Multiple_Complex
TC1700008984.hg.1,13.98,15.48,-2.82,5.13E-06,0.0013,SEC14L1; SCARNA16; SNHG20; MIR6516,SEC14-like lipid binding 1; small Cajal body-specific RNA 16; small nucleolar RNA host gene 20; microRNA 6516,Multiple_Complex
TC0800008300.hg.1,9.44,10.69,-2.38,5.19E-06,0.0013,CPQ,carboxypeptidase Q,Multiple_Complex
TC0400008879.hg.1,10.37,11.79,-2.68,5.28E-06,0.0013,GAB1,GRB2-associated binding protein 1,Multiple_Complex
TC1100009301.hg.1,9.06,10.44,-2.61,5.34E-06,0.0013,TBCEL,tubulin folding cofactor E-like,Multiple_Complex
TSUnmapped00000502.hg.1,10.1,11.38,-2.43,5.50E-06,0.0013,MLXIP,MLX interacting protein,NonCoding
TC1900009625.hg.1,9.95,11.46,-2.84,5.57E-06,0.0013,ICAM3,intercellular adhesion molecule 3,Multiple_Complex
TC0600011232.hg.1,8.24,6.61,3.11,5.78E-06,0.0013,HIST1H1B,"histone cluster 1, H1b",Multiple_Complex
TSUnmapped00000103.hg.1,9.58,11.16,-2.99,5.98E-06,0.0014,MLXIP,MLX interacting protein,NonCoding
TC0100008815.hg.1,14.02,8.13,59.44,6.02E-06,0.0014,IFI44L,interferon-induced protein 44-like,Multiple_Complex
TC1100006876.hg.1,5.51,6.82,-2.48,6.37E-06,0.0014,MICALCL,MICAL C-terminal like,Multiple_Complex
TC1800006448.hg.1,7.14,5.77,2.59,6.41E-06,0.0014,TYMS,thymidylate synthetase,Multiple_Complex
TC1400009147.hg.1,10.97,12.47,-2.83,7.48E-06,0.0016,PYGL,"phosphorylase, glycogen, liver",Multiple_Complex
TC0600011233.hg.1,8.32,7.22,2.14,7.60E-06,0.0016,HIST1H3I,"histone cluster 1, H3i",Coding
TC1000006802.hg.1,7.58,9.23,-3.14,7.69E-06,0.0016,CAMK1D,calcium/calmodulin-dependent protein kinase ID,Multiple_Complex
TC1100012121.hg.1,17.6,15.71,3.72,7.80E-06,0.0016,TMEM123,transmembrane protein 123,Multiple_Complex
TC0400012366.hg.1,11.57,9.08,5.63,7.94E-06,0.0016,DDX60,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60,Multiple_Complex
TC0400010612.hg.1,5.9,7.09,-2.29,7.95E-06,0.0016,NFXL1,"nuclear transcription factor, X-box binding-like 1",Multiple_Complex
TC1100013015.hg.1,8.93,10.01,-2.11,8.36E-06,0.0017,MS4A14,"membrane-spanning 4-domains, subfamily A, member 14",Multiple_Complex
TC0500013392.hg.1,8.62,10.88,-4.79,8.51E-06,0.0017,CCNJL,cyclin J-like,Multiple_Complex
TC0900009933.hg.1,7.83,9.04,-2.31,8.59E-06,0.0017,FAM214B,"family with sequence similarity 214, member B",Multiple_Complex
TC1100011184.hg.1,9.7,10.86,-2.23,9.14E-06,0.0017,SF1,"Memczak2013 ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic best transcript NM_201998",NonCoding
TC1900009316.hg.1,15.38,16.48,-2.15,9.41E-06,0.0018,EEF2; SNORD37,"eukaryotic translation elongation factor 2; small nucleolar RNA, C/D box 37",Multiple_Complex
TC0800007027.hg.1,13.63,15.18,-2.92,1.01E-05,0.0018,SLC25A37,"solute carrier family 25 (mitochondrial iron transporter), member 37",Multiple_Complex
TC1700009256.hg.1,9.85,10.95,-2.15,1.08E-05,0.0019,NARF,nuclear prelamin A recognition factor,Multiple_Complex
TC2000009970.hg.1,13.42,15.03,-3.05,1.12E-05,0.002,SIRPB1,signal-regulatory protein beta 1,Multiple_Complex
TC1600008007.hg.1,9.73,11.03,-2.45,1.14E-05,0.002,ADGRG3,adhesion G protein-coupled receptor G3,Multiple_Complex
TC0400011291.hg.1,7.65,6.29,2.57,1.19E-05,0.0021,HERC6,"Memczak2013 ANTISENSE, coding, INTERNAL, intronic best transcript NM_001165136",NonCoding
TC0600007290.hg.1,8.39,7.35,2.05,1.20E-05,0.0021,HIST1H2BH,"histone cluster 1, H2bh",Coding
TC0600007585.hg.1,10.06,9.01,2.07,1.28E-05,0.0021,MICB,MHC class I polypeptide-related sequence B,Multiple_Complex
TC1700007451.hg.1,9.76,11.18,-2.66,1.32E-05,0.0021,CPD,carboxypeptidase D,Multiple_Complex
TC1100009309.hg.1,13.35,14.84,-2.81,1.33E-05,0.0021,SORL1,"sortilin-related receptor, L(DLR class) A repeats containing",Multiple_Complex
TC0100013445.hg.1,13.53,8.97,23.61,1.36E-05,0.0021,IFI6,"interferon, alpha-inducible protein 6",Multiple_Complex
TC0100016112.hg.1,13.98,15.23,-2.38,1.44E-05,0.0022,TAGLN2,transgelin 2,Multiple_Complex
TC0700007034.hg.1,15.44,17.28,-3.58,1.45E-05,0.0022,CREB5,cAMP responsive element binding protein 5,Multiple_Complex
TC0200016402.hg.1,12.94,8.14,27.98,1.45E-05,0.0022,RSAD2,radical S-adenosyl methionine domain containing 2,Multiple_Complex
TC0500013235.hg.1,10.78,11.82,-2.05,1.46E-05,0.0022,FAM53C,"family with sequence similarity 53, member C",Multiple_Complex
TC1400008764.hg.1,12.42,11.11,2.48,1.47E-05,0.0022,GZMB,granzyme B,Coding
TC1100013012.hg.1,10.96,12,-2.06,1.61E-05,0.0023,STX3,syntaxin 3,Multiple_Complex
TC2100008424.hg.1,10.88,12.47,-3.01,1.63E-05,0.0023,SLC19A1,"solute carrier family 19 (folate transporter), member 1",Multiple_Complex
TC0200010795.hg.1,10.48,12.23,-3.37,1.72E-05,0.0024,SLC11A1,"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1",Multiple_Complex
TC0300013330.hg.1,8.33,9.86,-2.89,1.83E-05,0.0025,DCUN1D1,"DCN1, defective in cullin neddylation 1, domain containing 1",Multiple_Complex
TC0400010961.hg.1,13.74,10.22,11.51,1.83E-05,0.0025,JCHAIN,joining chain of multimeric IgA and IgM,Multiple_Complex
TC1700010827.hg.1,9.5,7.84,3.16,1.85E-05,0.0025,GRN,"Memczak2013 ANTISENSE, CDS, coding, INTERNAL best transcript NM_002087",NonCoding
TC1800006889.hg.1,10.46,12.69,-4.69,1.89E-05,0.0026,RIOK3,RIO kinase 3,Multiple_Complex
TC0100007243.hg.1,8.78,11.78,-7.99,1.91E-05,0.0026,ALPL,"alkaline phosphatase, liver/bone/kidney",Multiple_Complex
TC1100008041.hg.1,13.31,11.82,2.8,2.05E-05,0.0027,CTSW,cathepsin W,Multiple_Complex
TC1500009904.hg.1,11.33,12.72,-2.61,2.11E-05,0.0027,TLE3,transducin-like enhancer of split 3,Multiple_Complex
TC1900011399.hg.1,11.03,12.44,-2.65,2.11E-05,0.0027,MBOAT7,membrane bound O-acyltransferase domain containing 7,Multiple_Complex
TC1800007198.hg.1,8.51,10.65,-4.4,2.12E-05,0.0027,SLC14A1,"solute carrier family 14 (urea transporter), member 1 (Kidd blood group)",Multiple_Complex
TC0100007484.hg.1,14.81,15.99,-2.27,2.32E-05,0.0029,ZDHHC18,"zinc finger, DHHC-type containing 18",Multiple_Complex
TC0100012329.hg.1,9.1,11.08,-3.96,2.34E-05,0.0029,OR2W3,"olfactory receptor, family 2, subfamily W, member 3",Coding
TC0900010063.hg.1,6.38,7.93,-2.92,2.48E-05,0.003,CNTNAP3,contactin associated protein-like 3,Multiple_Complex
TC0200015538.hg.1,12.61,14.06,-2.73,2.49E-05,0.003,KLF7,Kruppel-like factor 7 (ubiquitous),Multiple_Complex
TC1000012482.hg.1,11.26,12.43,-2.24,2.51E-05,0.003,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,Multiple_Complex
TC0100017118.hg.1,8.05,9.55,-2.83,2.53E-05,0.003,YOD1,YOD1 deubiquitinase,Multiple_Complex
TC0300007278.hg.1,10.57,11.83,-2.39,2.55E-05,0.003,NBEAL2,neurobeachin like 2,Multiple_Complex
TC0100013471.hg.1,11.56,12.88,-2.5,2.57E-05,0.003,PTAFR,platelet-activating factor receptor,Multiple_Complex
TC0200008268.hg.1,16.25,14.09,4.49,2.61E-05,0.0031,GNLY,granulysin,Multiple_Complex
TC0200016115.hg.1,10.68,9.65,2.04,3.00E-05,0.0034,ARL4C,ADP-ribosylation factor like GTPase 4C,Multiple_Complex
TC2000009602.hg.1,10.41,8.58,3.56,3.06E-05,0.0034,ZBP1,Z-DNA binding protein 1,Multiple_Complex
TC0200009955.hg.1,8.18,9.76,-3,3.22E-05,0.0036,CYBRD1,cytochrome b reductase 1,Multiple_Complex
TC1900008419.hg.1,7.77,8.88,-2.16,3.24E-05,0.0036,C5AR2,complement component 5a receptor 2,Multiple_Complex
TC2000009874.hg.1,14.72,16.72,-4,3.25E-05,0.0036,PSMF1,proteasome inhibitor subunit 1,Multiple_Complex
TC2000006861.hg.1,7.95,6.83,2.16,3.30E-05,0.0036,RIN2,Ras and Rab interactor 2,Multiple_Complex
TC1900009832.hg.1,12.22,13.81,-3.02,3.30E-05,0.0036,ADGRE3,adhesion G protein-coupled receptor E3,Coding
TC0100015866.hg.1,11.14,10.07,2.11,3.35E-05,0.0036,S100A4,S100 calcium binding protein A4,Multiple_Complex
