#%result_name=Analysis_31,,,,,,,,
TC0400010940.hg.1,9.1,10.4,-2.45,0.0009,0.027,SULT1B1,sulfotransferase family 1B member 1,Coding
TC0300012813.hg.1,8.81,10.18,-2.59,0.0009,0.0275,P2RY14,"purinergic receptor P2Y, G-protein coupled, 14",Coding
TC0600014328.hg.1,11.49,10.49,2,0.001,0.0282,OSTM1,osteopetrosis associated transmembrane protein 1,Multiple_Complex
TC1700009318.hg.1,10.42,11.64,-2.33,0.001,0.0283,FAM101B,"family with sequence similarity 101, member B",Multiple_Complex
TC0100011855.hg.1,11.73,12.91,-2.27,0.001,0.0284,GUK1,guanylate kinase 1,Multiple_Complex
TC0400011014.hg.1,6.91,7.92,-2.03,0.001,0.0285,CXCL5,chemokine (C-X-C motif) ligand 5,Multiple_Complex
TC2000007859.hg.1,13.03,14.94,-3.76,0.001,0.029,RBM38,RNA binding motif protein 38,Multiple_Complex
TC0100006881.hg.1,14.72,13.58,2.2,0.001,0.029,TNFRSF1B; MIR4632; MIR7846,"tumor necrosis factor receptor superfamily, member 1B; microRNA 4632; microRNA 7846",Multiple_Complex
TC0100016678.hg.1,13.26,14.55,-2.45,0.001,0.0292,FAM129A,"family with sequence similarity 129, member A",Multiple_Complex
TC0400011748.hg.1,7.19,6.16,2.05,0.0011,0.0298,CCNA2,cyclin A2,Multiple_Complex
TC0700010185.hg.1,11.42,13.07,-3.13,0.0011,0.0298,EIF2AK1,eukaryotic translation initiation factor 2-alpha kinase 1,Multiple_Complex
TC1200010908.hg.1,9.8,8.31,2.82,0.0011,0.0299,STAT2,signal transducer and activator of transcription 2,Multiple_Complex
TC0400012018.hg.1,6.54,8.32,-3.44,0.0011,0.03,GYPB,glycophorin B (MNS blood group),Multiple_Complex
TC0800009231.hg.1,9.83,11.29,-2.75,0.0011,0.03,GRINA,"glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)",Multiple_Complex
TC1900009346.hg.1,8.66,10.09,-2.7,0.0011,0.0301,UBXN6,UBX domain protein 6,Multiple_Complex
TC1600009446.hg.1,11.92,12.97,-2.06,0.0011,0.0302,CPPED1,calcineurin-like phosphoesterase domain containing 1,Multiple_Complex
TC0100008271.hg.1,10.02,11.42,-2.63,0.0011,0.0303,RNF11,ring finger protein 11,Multiple_Complex
TC1900011004.hg.1,7.23,8.25,-2.02,0.0011,0.0306,SLC1A5,"solute carrier family 1 (neutral amino acid transporter), member 5",Multiple_Complex
TC1900006470.hg.1,13.92,15.74,-3.53,0.0012,0.0307,BSG,basigin (Ok blood group),Multiple_Complex
TC0400008106.hg.1,10.64,8.3,5.07,0.0012,0.031,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5,Multiple_Complex
TC0200008663.hg.1,9.51,11.54,-4.06,0.0012,0.0313,IL1R2,"interleukin 1 receptor, type II",Multiple_Complex
TC0100015921.hg.1,10.68,9.63,2.07,0.0012,0.032,ADAR,"adenosine deaminase, RNA-specific",Multiple_Complex
TC0700009411.hg.1,9.01,10.82,-3.52,0.0013,0.0329,MGAM2,maltase-glucoamylase 2 (putative),Multiple_Complex
TC1700006709.hg.1,9.77,7.75,4.05,0.0013,0.033,XAF1,XIAP associated factor 1,Multiple_Complex
TC0200012257.hg.1,13.35,11.46,3.71,0.0013,0.033,EIF2AK2,eukaryotic translation initiation factor 2-alpha kinase 2,Multiple_Complex
TC2000007686.hg.1,11.42,12.7,-2.43,0.0013,0.0331,LINC01272,long intergenic non-protein coding RNA 1272,Multiple_Complex
TC0700013428.hg.1,11.63,12.63,-2.01,0.0013,0.0332,PILRB; STAG3L5P; PVRIG2P; MIR6840; STAG3L5P-PVRIG2P-PILRB,"paired immunoglobin-like type 2 receptor beta; stromal antigen 3-like 5 pseudogene; poliovirus receptor related immunoglobulin domain containing 2, pseudogene; microRNA 6840; STAG3L5P-PVRIG2P-PILRB readthrough",Multiple_Complex
TC0300012728.hg.1,13.03,10.98,4.14,0.0013,0.0335,PLSCR1,phospholipid scramblase 1,Multiple_Complex
TC1700007779.hg.1,11.02,12.22,-2.3,0.0014,0.0348,MSL1,male-specific lethal 1 homolog (Drosophila),Multiple_Complex
TC1200012080.hg.1,7.66,9.04,-2.61,0.0014,0.0351,TESC,tescalcin,Multiple_Complex
TC0400006987.hg.1,12.72,11.07,3.14,0.0017,0.0394,LAP3,leucine aminopeptidase 3,Multiple_Complex
TC1600011399.hg.1,12.35,10.62,3.33,0.0018,0.04,MT1X,metallothionein 1X,Multiple_Complex
TC0700009499.hg.1,4.48,5.75,-2.41,0.0018,0.0405,TAS2R60,"taste receptor, type 2, member 60",Coding
TC1700010221.hg.1,6.98,8.09,-2.15,0.0018,0.0406,DHRS13,dehydrogenase/reductase (SDR family) member 13,Multiple_Complex
TC0400007120.hg.1,9.21,10.22,-2.03,0.0019,0.0411,RBPJ,recombination signal binding protein for immunoglobulin kappa J region,Multiple_Complex
TC0200013616.hg.1,8.23,9.25,-2.02,0.0019,0.0416,AFF3,"AF4/FMR2 family, member 3",Multiple_Complex
TC0200009189.hg.1,13.77,15.18,-2.66,0.002,0.0425,GYPC,glycophorin C (Gerbich blood group),Multiple_Complex
TC0100010078.hg.1,11.38,12.4,-2.02,0.002,0.0429,IL6R,interleukin 6 receptor,Multiple_Complex
TC1200006450.hg.1,10.64,11.96,-2.5,0.002,0.0431,WNK1,WNK lysine deficient protein kinase 1,Multiple_Complex
TC0100010155.hg.1,12.84,14.1,-2.4,0.0021,0.0437,SEMA4A,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A",Multiple_Complex
TC0800010990.hg.1,11.39,13.92,-5.77,0.0021,0.0438,CA1,carbonic anhydrase I,Multiple_Complex
TC0600010066.hg.1,10.63,11.94,-2.48,0.0022,0.0454,IGF2R,insulin-like growth factor 2 receptor,Multiple_Complex
TC0300012403.hg.1,7.68,8.72,-2.05,0.0024,0.0482,TMCC1,transmembrane and coiled-coil domain family 1,Multiple_Complex
TC1200007764.hg.1,9.13,7.65,2.78,0.0024,0.0483,ZNF385A,"Memczak2013 ANTISENSE, CDS, coding, INTERNAL best transcript NM_001130967",NonCoding
TC2200007138.hg.1,17.67,18.88,-2.31,0.0025,0.0488,FBXO7,F-box protein 7,Multiple_Complex
TC0500007758.hg.1,7.19,8.39,-2.29,0.0026,0.05,FCHO2,FCH domain only 2,Multiple_Complex
TC1000010022.hg.1,15.29,16.54,-2.37,0.0027,0.0516,PIP4K2A,"phosphatidylinositol-5-phosphate 4-kinase, type II, alpha",Multiple_Complex
TC1600007964.hg.1,13.82,11.85,3.92,0.0027,0.0517,MT1B; MT1CP,"metallothionein 1B; metallothionein 1C, pseudogene",Multiple_Complex
TC1600007966.hg.1,7.61,6.02,3,0.0028,0.0523,MT1H,metallothionein 1H,Multiple_Complex
TC0600011658.hg.1,6.51,5.44,2.11,0.0028,0.0528,ETV7,ets variant 7,Coding
TC0600008622.hg.1,6.95,8.07,-2.16,0.0029,0.0537,SH3BGRL2,SH3 domain binding glutamate-rich protein like 2,Multiple_Complex
TC1100007899.hg.1,10.37,9.3,2.1,0.003,0.0549,RARRES3,retinoic acid receptor responder (tazarotene induced) 3,Multiple_Complex
TC0100013651.hg.1,7.95,9.25,-2.46,0.003,0.0549,PHC2; MIR3605,polyhomeotic homolog 2 (Drosophila); microRNA 3605,Multiple_Complex
TC0100015784.hg.1,7.73,9.5,-3.43,0.0031,0.0564,SELENBP1,selenium binding protein 1,Multiple_Complex
TC1400008098.hg.1,10.68,12.25,-2.96,0.0032,0.057,GLRX5,glutaredoxin 5,Multiple_Complex
TC1900010708.hg.1,9.04,10.87,-3.57,0.0032,0.0578,BLVRB,biliverdin reductase B,Multiple_Complex
TC2200008411.hg.1,11.41,12.84,-2.69,0.0033,0.0582,ASCC2,activating signal cointegrator 1 complex subunit 2,Multiple_Complex
TC1200009375.hg.1,10.17,11.22,-2.07,0.0035,0.0607,GLT1D1,glycosyltransferase 1 domain containing 1,Multiple_Complex
TC0400012902.hg.1,10.34,8.65,3.24,0.0036,0.0616,FGFBP2,fibroblast growth factor binding protein 2,Coding
TC0100009866.hg.1,11.52,12.71,-2.29,0.0038,0.0639,FCGR1A,"Fc fragment of IgG, high affinity Ia, receptor (CD64)",Multiple_Complex
TC1600009422.hg.1,11.59,13.61,-4.05,0.0039,0.0642,GSPT1,G1 to S phase transition 1,Multiple_Complex
TC0100014849.hg.1,10.34,9.34,2,0.0039,0.0645,GBP3,guanylate binding protein 3,Multiple_Complex
TC1600011186.hg.1,7.03,8.1,-2.1,0.0039,0.0645,SLC7A5,"solute carrier family 7 (amino acid transporter light chain, L system), member 5",Multiple_Complex
TC2200007214.hg.1,10.61,9.58,2.04,0.0039,0.065,APOL6,"apolipoprotein L, 6",Multiple_Complex
TC1200009461.hg.1,9.3,10.36,-2.08,0.0041,0.0662,EP400; SNORA49,"E1A binding protein p400; small nucleolar RNA, H/ACA box 49",Multiple_Complex
TC2200008874.hg.1,9.7,10.7,-2.01,0.0042,0.0674,NFAM1,NFAT activating protein with ITAM motif 1,Multiple_Complex
TC2200008062.hg.1,6.68,5.44,2.36,0.0042,0.0676,CRKL,"Memczak2013 ANTISENSE, CDS, coding, INTERNAL best transcript NM_005207",NonCoding
TC1100006487.hg.1,10.8,11.87,-2.09,0.0043,0.0679,TALDO1,transaldolase 1,Multiple_Complex
TC0100014852.hg.1,12.91,10.89,4.06,0.0043,0.0679,GBP1,"guanylate binding protein 1, interferon-inducible",Multiple_Complex
TC1500007355.hg.1,15.78,16.79,-2.02,0.0043,0.0684,AQP9,aquaporin 9,Multiple_Complex
TC0X00009611.hg.1,10.98,12.47,-2.82,0.0044,0.0692,SLC38A5,"solute carrier family 38, member 5",Multiple_Complex
TC0700013472.hg.1,10.73,12.34,-3.05,0.0045,0.0702,MGAM,maltase-glucoamylase,Multiple_Complex
TC0500012567.hg.1,11.81,14.63,-7.07,0.0047,0.0718,FAXDC2,fatty acid hydroxylase domain containing 2,Multiple_Complex
TC0200006627.hg.1,12.23,11.07,2.24,0.0047,0.072,ID2,"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein",Multiple_Complex
TC1700007402.hg.1,10.95,9.82,2.19,0.0047,0.0722,FLOT2,"Memczak2013 ANTISENSE, coding, INTERNAL, UTR3 best transcript NM_004475",NonCoding
TC0100012328.hg.1,9.62,10.83,-2.32,0.0048,0.0724,TRIM58,tripartite motif containing 58,Multiple_Complex
TC0400012990.hg.1,15.84,14.5,2.54,0.005,0.074,DDX60L,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60-like,Multiple_Complex
TC1900009947.hg.1,8.38,6.82,2.95,0.0051,0.075,MYO9B,"Memczak2013 ANTISENSE, CDS, coding, INTERNAL best transcript NM_004145",NonCoding
TC1100012166.hg.1,6.68,7.76,-2.1,0.0052,0.0758,CASP5,caspase 5,Multiple_Complex
TC1200011598.hg.1,9.3,10.36,-2.09,0.0056,0.0791,HAL,histidine ammonia-lyase,Multiple_Complex
TC1900011653.hg.1,10.07,11.4,-2.51,0.0058,0.0808,MCOLN1,mucolipin 1,Multiple_Complex
TC1800006915.hg.1,6.11,7.17,-2.09,0.0059,0.0814,HRH4,histamine receptor H4,Coding
TC0100014081.hg.1,7.56,9.65,-4.26,0.0059,0.0814,PDZK1IP1,PDZK1 interacting protein 1,Multiple_Complex
TC0800012469.hg.1,8.37,9.49,-2.18,0.0059,0.0814,TMEM71,transmembrane protein 71,NonCoding
TC1900009859.hg.1,13.67,14.71,-2.05,0.006,0.0814,BRD4,bromodomain containing 4,Multiple_Complex
TC0100009482.hg.1,7.22,8.31,-2.13,0.0065,0.0858,HIPK1,"Memczak2013 ALT_DONOR, coding, INTERNAL, intronic best transcript NM_198268",NonCoding
TC1700007014.hg.1,15.29,16.46,-2.25,0.0068,0.0874,UBB,ubiquitin B,Multiple_Complex
TC1400006663.hg.1,12.83,13.94,-2.16,0.0069,0.0875,LRP10,LDL receptor related protein 10,Multiple_Complex
TC1200006773.hg.1,8.65,7.28,2.59,0.0069,0.088,KLRF1,"killer cell lectin-like receptor subfamily F, member 1",Multiple_Complex
TC1400008635.hg.1,8.26,9.3,-2.05,0.0076,0.093,RAB2B,"RAB2B, member RAS oncogene family",Multiple_Complex
TC1900011382.hg.1,10.54,9.2,2.54,0.0076,0.0931,MYADM,"Memczak2013 ANTISENSE, CDS, coding, INTERNAL best transcript NM_001020819",NonCoding
TC1600007962.hg.1,13.92,12.15,3.43,0.0077,0.0935,MT1A,metallothionein 1A,Coding
TC1000008400.hg.1,10.39,7.19,9.23,0.0081,0.097,IFIT1,interferon-induced protein with tetratricopeptide repeats 1,Coding
TC1400006540.hg.1,12.32,10.77,2.93,0.0082,0.0977,RNASE2,"ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)",Coding
TC0500007772.hg.1,9.28,10.8,-2.86,0.0083,0.0982,BTF3,basic transcription factor 3,Multiple_Complex
TC0400012015.hg.1,7.89,9.08,-2.29,0.0085,0.0998,GYPE,glycophorin E (MNS blood group),Multiple_Complex
TC2000007925.hg.1,10.47,11.86,-2.62,0.0086,0.0999,TUBB1,"tubulin, beta 1 class VI",Coding
TC0200013916.hg.1,11.56,12.64,-2.11,0.0087,0.1005,IL1B,interleukin 1 beta,Multiple_Complex
TC0600007864.hg.1,8.06,9.07,-2.01,0.0087,0.1006,TBC1D22B,"TBC1 domain family, member 22B",Multiple_Complex
TC0900009950.hg.1,9.74,10.87,-2.19,0.0091,0.1028,TLN1; MIR6852,talin 1; microRNA 6852,Multiple_Complex
TC1700012216.hg.1,14.8,13.63,2.25,0.0091,0.1028,LGALS9,"lectin, galactoside-binding, soluble, 9",Multiple_Complex
TC0100013724.hg.1,15.52,16.7,-2.26,0.0092,0.1032,CSF3R,colony stimulating factor 3 receptor,Multiple_Complex
TC1600010421.hg.1,11.14,9.8,2.54,0.0099,0.1069,MT1G,metallothionein 1G,Coding
TC0700012584.hg.1,11.25,12.62,-2.58,0.0105,0.1095,UBE2H,ubiquitin conjugating enzyme E2H,Multiple_Complex
TC0200015242.hg.1,16.72,15.27,2.73,0.0105,0.1095,STAT1,signal transducer and activator of transcription 1,Multiple_Complex
TC2000009317.hg.1,11.55,12.75,-2.29,0.0115,0.1159,SULF2,sulfatase 2,Multiple_Complex
TC0100009341.hg.1,6.44,7.75,-2.47,0.0121,0.1198,KIAA1324,KIAA1324,Multiple_Complex
TC0700012182.hg.1,12.33,13.55,-2.33,0.0124,0.1213,NAMPT,nicotinamide phosphoribosyltransferase,Multiple_Complex
TC1200006788.hg.1,13.42,12.19,2.35,0.0127,0.1226,KLRD1,"killer cell lectin-like receptor subfamily D, member 1",Multiple_Complex
TC1700010820.hg.1,13.26,14.81,-2.95,0.0127,0.1226,SLC4A1,"solute carrier family 4 (anion exchanger), member 1 (Diego blood group)",Multiple_Complex
TC0100011022.hg.1,11.9,13.31,-2.66,0.0146,0.1336,RGS2,regulator of G-protein signaling 2,Multiple_Complex
TC1600008928.hg.1,11.19,12.71,-2.87,0.0146,0.1336,NPRL3,"NPR3-like, GATOR1 complex subunit",Multiple_Complex
TC1600007958.hg.1,12.84,11.41,2.68,0.015,0.1356,MT1L,metallothionein 1L (gene/pseudogene),Multiple_Complex
TC0700011797.hg.1,13.98,12.56,2.68,0.0152,0.1364,SAMD9L,sterile alpha motif domain containing 9-like,Multiple_Complex
TC1100007684.hg.1,9.17,7.17,3.99,0.0153,0.1368,SERPING1,"serpin peptidase inhibitor, clade G (C1 inhibitor), member 1",Multiple_Complex
TC0400012621.hg.1,12.9,14.09,-2.29,0.0154,0.1371,ACSL1,acyl-CoA synthetase long-chain family member 1,Multiple_Complex
TC0900009825.hg.1,11.98,10.9,2.13,0.0155,0.1372,DDX58,DEAD (Asp-Glu-Ala-Asp) box polypeptide 58,Multiple_Complex
TC2000008242.hg.1,12.57,13.6,-2.04,0.0158,0.1391,RNF24,ring finger protein 24,Multiple_Complex
TC0700011796.hg.1,11.13,9.51,3.08,0.0159,0.1395,SAMD9,sterile alpha motif domain containing 9,Coding
TC0Y00006629.hg.1,7.42,6.09,2.52,0.0163,0.1412,USP9Y; TTTY15,"ubiquitin specific peptidase 9, Y-linked; testis-specific transcript, Y-linked 15 (non-protein coding)",Multiple_Complex
TC2000008815.hg.1,11.01,12.65,-3.1,0.0165,0.1417,BCL2L1,BCL2-like 1,Multiple_Complex
TC1200009807.hg.1,9.81,8.7,2.15,0.0168,0.1428,C3AR1,complement component 3a receptor 1,Coding
TC0100011417.hg.1,10.82,11.84,-2.02,0.0175,0.1466,CR1L,complement component (3b/4b) receptor 1-like,Multiple_Complex
TC0Y00006528.hg.1,8.25,7.22,2.05,0.018,0.1487,PRKY,"protein kinase, Y-linked, pseudogene",Multiple_Complex
TC1700008123.hg.1,7.18,8.51,-2.51,0.0183,0.1498,MYL4,myosin light chain 4,Multiple_Complex
TC0700009493.hg.1,11.4,12.6,-2.3,0.021,0.1616,ZYX,zyxin,Multiple_Complex
TC1300008892.hg.1,9.76,8.61,2.22,0.0215,0.1641,LPAR6,lysophosphatidic acid receptor 6,Multiple_Complex
TC1700010826.hg.1,9.19,10.36,-2.26,0.0216,0.1644,SLC25A39,"solute carrier family 25, member 39",Multiple_Complex
TC1200009132.hg.1,12.34,13.71,-2.57,0.0216,0.1646,RNF10,ring finger protein 10,Multiple_Complex
TC0100014531.hg.1,7.87,9.24,-2.58,0.0223,0.1682,WLS,wntless Wnt ligand secretion mediator,Multiple_Complex
TC0200014154.hg.1,4.52,5.57,-2.06,0.023,0.1709,GYPC,"Memczak2013 ANTISENSE, coding, INTERNAL, UTR3 best transcript NM_016815",NonCoding
TC1000012011.hg.1,8.77,9.77,-2.01,0.0239,0.1739,RGS10,regulator of G-protein signaling 10,Multiple_Complex
TC0100010648.hg.1,11.08,12.11,-2.03,0.024,0.1745,PRDX6,peroxiredoxin 6,Multiple_Complex
TC0400007839.hg.1,10.91,11.95,-2.05,0.0258,0.1818,PF4V1,platelet factor 4 variant 1,Coding
TC1100013133.hg.1,11.3,13.26,-3.9,0.0262,0.1829,HBG2; HBG1,"hemoglobin, gamma G; hemoglobin, gamma A",Multiple_Complex
TC0300012191.hg.1,13.41,12.3,2.16,0.0268,0.1853,PARP9,poly(ADP-ribose) polymerase family member 9,Multiple_Complex
TC1700006751.hg.1,10.52,11.54,-2.03,0.027,0.1858,POLR2A,"polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",Multiple_Complex
TC0100016983.hg.1,8.75,10.2,-2.73,0.027,0.1858,CHI3L1,chitinase 3-like 1 (cartilage glycoprotein-39),Multiple_Complex
TC0400011012.hg.1,10.05,11.57,-2.87,0.0279,0.1895,PF4,platelet factor 4,Coding
TC0700011318.hg.1,8.9,10.14,-2.36,0.028,0.1897,ERV3-1; ZNF117,"endogenous retrovirus group 3, member 1; zinc finger protein 117",Multiple_Complex
TC1000008396.hg.1,11.09,9.48,3.06,0.0315,0.2015,IFIT2,interferon-induced protein with tetratricopeptide repeats 2,Coding
TC0600007598.hg.1,13.59,14.62,-2.03,0.0411,0.2334,AIF1,allograft inflammatory factor 1,Multiple_Complex
